code_site,code_station,date_obs_elab,resultat_obs_elab,date_prod,code_statut,libelle_statut,code_methode,libelle_methode,code_qualification,libelle_qualification,longitude,latitude,grandeur_hydro_elab,code_station_id,nom_station,type_donnee,saison
Y2140010,Y214001002,2018-02-23,21154.0,2025-04-24T18:26:13Z,16,Donnée validée,10,Expertisée,20,Bonne,3.534623845,43.651522709,QmnJ,Y214001002,L'Hérault à Gignac - Aval,QmnJ,Hiver
O2550002,O255000201,2020-02-08,4816.0,2025-04-24T15:12:27Z,16,Donnée validée,10,Expertisée,20,Bonne,1.244217269,43.728025068,QmnJ,O255000201,La Save à Larra,QmnJ,Hiver
Y2140010,Y214001002,2018-02-09,61703.0,2025-04-24T18:26:13Z,16,Donnée validée,10,Expertisée,20,Bonne,3.534623845,43.651522709,QmnJ,Y214001002,L'Hérault à Gignac - Aval,QmnJ,Hiver
P2220002,P222000201,2018-09-18,0.0,2025-04-24T16:53:09Z,12,Donnée pré-validée,10,Expertisée,12,Douteuse,1.563955176,44.79562402,QmnJ,P222000201,[Source de Fontbelle] à Calès - L'ouysse à Calès (Source de Fontbelle),QmnJ,Automne
Y2140010,Y214001002,2018-12-01,69830.0,2025-04-24T18:26:13Z,16,Donnée validée,10,Expertisée,20,Bonne,3.534623845,43.651522709,QmnJ,Y214001002,L'Hérault à Gignac - Aval,QmnJ,Hiver
O2550002,O255000201,2020-10-25,1784.0,2025-04-24T15:12:27Z,16,Donnée validée,10,Expertisée,20,Bonne,1.244217269,43.728025068,QmnJ,O255000201,La Save à Larra,QmnJ,Automne
O2550002,O255000201,2020-11-21,1818.0,2025-04-24T15:12:27Z,16,Donnée validée,10,Expertisée,20,Bonne,1.244217269,43.728025068,QmnJ,O255000201,La Save à Larra,QmnJ,Automne
P2220002,P222000201,2018-03-09,208.0,2025-04-24T16:53:09Z,12,Donnée pré-validée,10,Expertisée,20,Bonne,1.563955176,44.79562402,QmnJ,P222000201,[Source de Fontbelle] à Calès - L'ouysse à Calès (Source de Fontbelle),QmnJ,Printemps
Y3404020,Y340402001,2021-11-26,4.0,2025-01-29T17:28:00Z,16,Donnée validée,10,Expertisée,16,Non qualifiée,3.928565802,43.951404499,QmnJ,Y340402001,Le Vidourle à Conqueyrac [Barrage de Conqueyrac],QmnJ,Automne
O2550002,O255000201,2020-03-26,5141.0,2025-04-24T15:12:27Z,16,Donnée validée,10,Expertisée,20,Bonne,1.244217269,43.728025068,QmnJ,O255000201,La Save à Larra,QmnJ,Printemps
Y3404020,Y340402001,2021-05-12,2281.0,2025-04-24T17:10:45Z,16,Donnée validée,10,Expertisée,20,Bonne,3.928565802,43.951404499,QmnJ,Y340402001,Le Vidourle à Conqueyrac [Barrage de Conqueyrac],QmnJ,Printemps
O2550002,O255000201,2020-03-03,21965.0,2025-04-24T15:12:27Z,16,Donnée validée,10,Expertisée,20,Bonne,1.244217269,43.728025068,QmnJ,O255000201,La Save à Larra,QmnJ,Printemps
P2220002,P222000201,2018-02-16,283.0,2025-04-24T16:53:09Z,12,Donnée pré-validée,10,Expertisée,20,Bonne,1.563955176,44.79562402,QmnJ,P222000201,[Source de Fontbelle] à Calès - L'ouysse à Calès (Source de Fontbelle),QmnJ,Hiver
Y2140010,Y214001002,2018-12-26,21824.0,2025-04-24T18:26:13Z,16,Donnée validée,10,Expertisée,20,Bonne,3.534623845,43.651522709,QmnJ,Y214001002,L'Hérault à Gignac - Aval,QmnJ,Hiver
Y3404020,Y340402001,2021-02-23,4.0,2025-04-24T17:10:45Z,16,Donnée validée,10,Expertisée,20,Bonne,3.928565802,43.951404499,QmnJ,Y340402001,Le Vidourle à Conqueyrac [Barrage de Conqueyrac],QmnJ,Hiver
